"mlbid","name","position","full_name","nickname","dob"
117533,"Barry Latman","P","Arnold Barry Latman ",NA,"5/21/1936 in Los Angeles, CA "
117532,"Tacks Latimer","C","Clifford Wesley Latimer ",NA,"11/30/1877 in Loveland, OH "
117531,"Bill Lathrop","P","William George Lathrop ",NA,"8/12/1891 in Hanover, WI "
117530,"Chick Lathers","3B","Charles Ten Lathers ",NA,"10/22/1888 in Detroit, MI "
117529,"Bill Latham","P","William Carol Latham ",NA,"8/29/1960 in Birmingham, AL "
117528,"Arlie Latham","3B","Walter Arlington Latham ","The Freshest Man On Earth","3/15/1860 in West Lebanon, NH "
117527,"Juice Latham","1B","George Warren Latham ","Jumbo","9/6/1852 in Utica, NY "
117526,"Chris Latham","LF","Christopher Joseph Latham ",NA,"5/26/1973 in Coeur D'Alene, ID "
117525,"Don Lassetter","OF","Donald O'Neal Lassetter ",NA,"3/27/1933 in Newnan, GA "
117524,"Tommy Lasorda","P","Thomas Charles Lasorda ",NA,"9/22/1927 in Norristown, PA "
117523,"Bill Lasley","P","Willard Almond Lasley ",NA,"7/13/1902 in Gallipolis, OH "
117522,"Bill Laskey","P","William Alan Laskey ",NA,"12/20/1957 in Toledo, OH "
117521,"Fred Lasher","P","Frederick Walter Lasher ",NA,"8/19/1941 in Poughkeepsie, NY "
117520,"Lyn Lary","SS","Lynford Hobart Lary ","Broadway","1/28/1906 in Armona, CA "
117519,"Frank Lary","P","Frank Strong Lary ","Mule","4/10/1930 in Northport, AL "
117518,"Al Lary","P","Alfred Allen Lary ",NA,"9/26/1928 in Northport, AL "
117517,"Tony La Russa","2B","Anthony La Russa Jr. ",NA,"10/4/1944 in Tampa, FL "
117516,"Dan Larson","P","Daniel James Larson ",NA,"7/4/1954 in Los Angeles, CA "
117515,"Swede Larsen","2B","Erling Adeli Larsen ",NA,"11/15/1913 in Jersey City, NJ "
117514,"Don Larsen","P","Don James Larsen ",NA,"8/7/1929 in Michigan City, IN "
117513,"Harry Laross","OF","Harry Raymond Laross ","Spike","1/2/1888 in Easton, PA "
117512,"Vic Larose","2B","Victor Raymond Larose ",NA,"12/23/1944 in Los Angeles, CA "
117511,"John Larose","P","Henry John Larose ",NA,"10/25/1951 in Pawtucket, RI "
117510,"Sam LaRoque","2B","Simeon Henry LaRoque ",NA,"2/26/1863 in St. Mathias, QC, Canada "
117509,"Dave LaRoche","P","David Eugene LaRoche ",NA,"5/14/1948 in Colorado Springs, CO "
117508,"Bob Larmore","SS","Robert Mc Larmore ","Red","12/6/1896 in Anderson, IN "
117507,"Steve Larkin","P","Stephen Patrick Larkin ",NA,"12/9/1910 in Cincinnati, OH "
117506,"Pat Larkin","P","Patrick Clibborn Larkin ",NA,"6/14/1960 in Arcadia, CA "
117505,"Henry Larkin","1B","Henry E. Larkin ","Ted","1/12/1860 in Reading, PA "
117504,"Terry Larkin","P","Frank S. Larkin ",NA,""
117503,"Gene Larkin","1B","Eugene Thomas Larkin ",NA,"10/24/1962 in Flushing, NY "
117502,"Ed Larkin","C","Edward Francis Larkin ",NA,"7/1/1885 in Wyalusing, PA "
117501,"Barry Larkin","SS","Barry Louis Larkin ",NA,"4/28/1964 in Cincinnati, OH "
117500,"Andy Larkin","P","Andrew Dane Larkin ",NA,"6/27/1974 in Chelan, WA "
117499,"Norm Larker","1B","Norman Howard Larker ",NA,"12/27/1930 in Beaver Meadows, PA "
117498,"Jack Lapp","C","John Walker Lapp ",NA,"9/10/1884 in Frazer, PA "
117497,"Frank Laporte","2B","Frank Breyfogle Laporte ","Pot","2/6/1880 in Uhrichsville, OH "
117496,"Ralph Lapointe","SS","Ralph Robert Lapointe ",NA,"1/8/1922 in Winooski, VT "
117495,"Dave LaPoint","P","David Jeffrey LaPoint ",NA,"7/29/1959 in Glens Falls, NY "
117494,"Andy Lapihuska","P","Andrew Lapihuska ","Apples","11/1/1922 in Delmont, NJ "
117493,"Pete Lapan","C","Peter Nelson Lapan ",NA,"6/25/1891 in Easthampton, MA "
117492,"Paul LaPalme","P","Paul Edmore LaPalme ","Lefty","12/14/1923 in Springfield, MA "
117491,"Mike Lansing","2B","Michael Thomas Lansing ",NA,"4/3/1968 in Rawlins, WY "
117490,"Gene Lansing","P","Eugene Hewitt Lansing ",NA,"1/11/1898 in Albany, NY "
117489,"Jody Lansford","1B","Joseph Dale Lansford ",NA,"1/15/1961 in San Jose, CA "
117488,"Carney Lansford","3B","Carney Ray Lansford ",NA,"2/7/1957 in San Jose, CA "
117487,"Tom Lanning","P","Thomas Newton Lanning ",NA,"4/22/1907 in Asheville, NC "
117486,"Red Lanning","OF","Lester Alfred Lanning ",NA,"5/13/1895 in Harvard, IL "
117485,"Johnny Lanning","P","John Young Lanning ","Tobacco Chewin' Johnny","9/6/1910 in Asheville, NC "
117484,"Ray Lankford","CF","Raymond Lewis Lankford ",NA,"6/5/1967 in Los Angeles, CA "
117483,"Rimp Lanier","PH","Lorenzo Lanier ",NA,"10/19/1948 in Tuskegee, AL "
117482,"Max Lanier","P","Hubert Max Lanier ",NA,"8/18/1915 in Denton, NC "
117481,"Hal Lanier","SS","Harold Clifton Lanier ",NA,"7/4/1942 in Denton, NC "
117480,"Mark Langston","P","Mark Edward Langston ",NA,"8/20/1960 in San Diego, CA "
117478,"Rick Langford","P","James Rick Langford ",NA,"3/20/1952 in Farmville, VA "
117477,"Sam Langford","CF","Elton Langford ",NA,"5/21/1899 in Briggs, TX "
117476,"Bill Lange","OF","William Alexander Lange ","Little Eva","6/6/1871 in San Francisco, CA "
117472,"Chip Lang","P","Robert David Lang ",NA,"8/21/1952 in Pittsburgh, PA "
117470,"Don Lang","3B","Donald Charles Lang ",NA,"3/15/1915 in Selma, CA "
117469,"Walt Lanfranconi","P","Walter Oswald Lanfranconi ",NA,"11/9/1916 in Barre, VT "
117468,"Sam Lanford","P","Lewis Grover Lanford ",NA,"1/8/1886 in Woodruff, SC "
117467,"Dick Lane","OF","Richard Harrison Lane ",NA,"6/28/1927 in Highland Park, MI "
117466,"Marvin Lane","OF","Marvin Lane ",NA,"1/18/1950 in Sandersville, GA "
117465,"Hunter Lane","3B","James Hunter Lane ","Dodo","7/20/1900 in Pulaski, TN "
117464,"Jerry Lane","P","Gerald Hal Lane ",NA,"2/7/1926 in Ashland, NY "
117463,"Chappy Lane","1B","George M. Lane ",NA,"in Pittsburgh, PA "
117462,"Bill Landrum","P","Thomas William Landrum ",NA,"8/17/1957 in Columbia, SC "
117461,"Tito Landrum","RF","Terry Lee Landrum ",NA,"10/25/1954 in Joplin, MO "
117460,"Joe Landrum","P","Joseph Butler Landrum ",NA,"12/13/1928 in Columbia, SC "
117459,"Jesse Landrum","2B","Jesse Glenn Landrum ",NA,"7/31/1912 in Crockett, TX "
117458,"Don Landrum","CF","Donald Leroy Landrum ",NA,"2/16/1936 in Santa Rosa, CA "
117457,"Ced Landrum","OF","Cedric Bernard Landrum ",NA,"9/3/1963 in Butler, AL "
117456,"Hobie Landrith","C","Hobert Neal Landrith ",NA,"3/16/1930 in Decatur, IL "
117455,"Larry Landreth","P","Larry Robert Landreth ",NA,"3/11/1955 in Stratford, ON, Canada "
117454,"Ken Landreaux","OF","Kenneth Francis Landreaux ",NA,"12/22/1954 in Los Angeles, CA "
117453,"Bill Landis","P","William Henry Landis ",NA,"10/8/1942 in Hanford, CA "
117452,"Doc Landis","P","Samuel H. Landis ",NA,"8/16/1854 in Philadelphia, PA "
117451,"Jim Landis","CF","James Henry Landis ",NA,"3/9/1934 in Fresno, CA "
117450,"Rafael Landestoy","2B","Rafael Silvialdo Landestoy ",NA,"5/28/1953 in Bani, Dominican Republic "
117449,"Ken Landenberger","1B","Kenneth Henry Landenberger ","Red","7/29/1928 in Lyndhurst, OH "
117448,"Doc Land","OF","William Gilbert Land ",NA,"5/14/1903 in Binnsville, MS "
117447,"Grover Land","C","Grover Cleveland Land ",NA,"9/22/1884 in Frankfort, KY "
117446,"Rick Lancellotti","1B","Richard Anthony Lancellotti ",NA,"7/5/1956 in Providence, RI "
117445,"Gary Lance","P","Gary Dean Lance ",NA,"9/21/1948 in Greenville, SC "
117444,"Les Lancaster","P","Lester Wayne Lancaster ",NA,"4/21/1962 in Dallas, TX "
117443,"Dick Lanahan","P","Richard Anthony Lanahan ",NA,"9/27/1911 in Washington, DC "
117442,"Tom Lampkin","C","Thomas Michael Lampkin ",NA,"3/4/1964 in Cincinnati, OH "
117441,"Henry Lampe","P","Henry Joseph Lampe ",NA,"9/19/1872 in Boston, MA "
117440,"Keith Lampard","OF","Christopher Keith Lampard ",NA,"12/20/1945 in Warrington, England "
117439,"Dennis Lamp","P","Dennis Patrick Lamp ",NA,"9/23/1952 in Los Angeles, CA "
117438,"Bobby Lamotte","SS","Robert Eugene Lamotte ",NA,"2/15/1898 in Savannah, GA "
117437,"Gene Lamont","C","Gene William Lamont ",NA,"12/25/1946 in Rockford, IL "
117436,"Fred Lamline","P","Frederick Arthur Lamline ","Dutch","8/14/1887 in Port Huron, MI "
117435,"Pete Lamers","C","Pierre Lamers ",NA,"12/1/1873 in New York, NY "
117434,"Otis Lambeth","P","Otis Samuel Lambeth ",NA,"5/13/1890 in Berlin, KS "
117433,"Gene Lambert","P","Eugene Marion Lambert ",NA,"4/26/1921 in Crenshaw, MS "
117432,"Clayton Lambert","P","Clayton Patrick Lambert ",NA,"3/26/1917 in Summit, IL "
117431,"Ray Lamb","P","Raymond Richard Lamb ",NA,"12/28/1944 in Glendale, CA "
117430,"Lyman Lamb","3B","Laymon Raymond Lamb ",NA,"3/17/1895 in Lincoln, NE "
117429,"John Lamb","P","John Andrew Lamb ",NA,"7/20/1946 in Sharon, CT "
117428,"Wayne Lamaster","P","Noble Wayne Lamaster ",NA,"2/13/1907 in Speed, IN "
117427,"Bill Lamar","OF","William Harmong Lamar ","Good Time Bill","3/21/1897 in Rockville, MD "
117426,"Frank Lamanske","P","Frank James Lamanske ","Lefty","9/30/1906 in Oglesby, IL "
117425,"Ray Lamanno","C","Raymond Simond Lamanno ",NA,"11/17/1919 in Oakland, CA "
117424,"Frank Lamanna","P","Frank Lamanna ","Hank","8/22/1919 in Waterton, PA "
117423,"Al LaMacchia","P","Alfred Anthony LaMacchia ",NA,"7/22/1921 in St. Louis, MO "
117422,"Jack Lamabe","P","John Alexander Lamabe ",NA,"10/3/1936 in Farmingdale, NY "
117421,"Dan Lally","OF","Daniel J. Lally ",NA,"8/12/1867 in Jersey City, NJ "
117420,"Tim Laker","C","Timothy John Laker ",NA,"11/27/1969 in Encino, CA "
117419,"Al Lakeman","C","Albert Wesley Lakeman ","Moose","12/31/1918 in Cincinnati, OH "
117418,"Steve Lake","C","Steven Michael Lake ",NA,"3/14/1957 in Inglewood, CA "
117417,"Joe Lake","P","Joseph Henry Lake ",NA,"1/6/1881 in Brooklyn, NY "
117416,"Fred Lake","C","Frederick Lovett Lake ",NA,"10/16/1866 in Cornwallis, NS, Canada "
117415,"Eddie Lake","SS","Edward Erving Lake ","Sparky","3/18/1916 in Antioch, CA "
117414,"Nap Lajoie","2B","Napoleon Lajoie ","Larry","9/5/1874 in Woonsocket, RI "
117413,"Dick Lajeskie","2B","Richard Edward Lajeskie ",NA,"1/8/1926 in Passaic, NJ "
117412,"Jeff Lahti","P","Jeffrey Allen Lahti ",NA,"10/8/1956 in Oregon City, OR "
117411,"Joe Lahoud","OF","Joseph Michael Lahoud ",NA,"4/14/1947 in Danbury, CT "
117410,"Lerrin Lagrow","P","Lerrin Harris Lagrow ",NA,"7/8/1948 in Phoenix, AZ "
117409,"Ed Lagger","P","Edwin Joseph Lagger ",NA,"7/14/1912 in Joliet, IL "
117408,"Mike Laga","1B","Michael Russell Laga ",NA,"6/14/1960 in Ridgewood, NJ "
117407,"Roger Lafrancois","C","Roger Victor Lafrancois ",NA,"8/2/1954 in Norwich, CT "
117406,"Ty Laforest","3B","Biron Joseph Laforest ",NA,"4/18/1917 in Edmundston, NB, Canada "
117405,"Ed Lafitte","P","Edward Francis Lafitte ","Doc","4/7/1886 in New Orleans, LA "
117404,"Flip Lafferty","OF","Frank Bernard Lafferty ",NA,"5/4/1854 in Scranton, PA "
117403,"Joe Lafata","1B","Joseph Joseph Lafata ",NA,"8/3/1921 in Detroit, MI "
117402,"Steve Ladew","P","Stephen Ladew ",NA,"in St.Louis, MO "
117401,"Doyle Lade","P","Doyle Marion Lade ","Porky","2/17/1921 in Fairbury, NE "
117400,"Pete Ladd","P","Peter Linwood Ladd ",NA,"7/17/1956 in Portland, ME "
117399,"Hi Ladd","LF","Arthur Clifford Ladd ",NA,"2/9/1870 in Willimantic, CT "
117398,"Guy Lacy","2B","Osceola Guy Lacy ",NA,"6/12/1897 in Cleveland, TN "
117397,"Lee Lacy","OF","Leondaus Lacy ",NA,"4/10/1948 in Longview, TX "
117396,"Kerry Lacy","P","Kerry Ardeen Lacy ",NA,"8/7/1972 in Chattanooga, TN "
117395,"Mike Lacoss","P","Michael James Lacoss ",NA,"5/30/1956 in Glendale, CA "
117394,"Frank Lacorte","P","Frank Joseph Lacorte ",NA,"10/13/1951 in San Jose, CA "
117393,"Pete Lacock","1B","Ralph Pierre Lacock ",NA,"1/17/1952 in Burbank, CA "
117391,"William Lackey","P","William Lackey ",NA,"12/10/1870 in Columbus, OH "
117390,"Al Lachowicz","P","Allen Robert Lachowicz ",NA,"9/6/1960 in Pittsburgh, PA "
117389,"Rene Lachemann","C","Rene George Lachemann ",NA,"5/4/1945 in Los Angeles, CA "
117388,"Marcel Lachemann","P","Marcel Ernest Lachemann ",NA,"6/13/1941 in Los Angeles, CA "
117387,"Candy Lachance","1B","George Joseph Lachance ",NA,"2/15/1870 in Putnam, CT "
117386,"Bob Lacey","P","Robert Joseph Lacey ",NA,"8/25/1953 in Fredericksburg, VA "
117385,"Coco Laboy","3B","Jose Alberto Laboy ",NA,"7/3/1939 in Ponce, Puerto Rico "
117384,"Clem Labine","P","Clement Walter Labine ",NA,"8/6/1926 in Lincoln, RI "
117383,"Chet Laabs","OF","Chester Peter Laabs ",NA,"4/30/1912 in Milwaukee, WI "
117382,"Andy Kyle","OF","Andrew Ewing Kyle ",NA,"10/29/1889 in Toronto, ON, Canada "
117381,"Al Kvasnak","RF","Alexander Kvasnak ",NA,"1/11/1921 in Sagamore, PA "
117380,"Bob Kuzava","P","Robert Leroy Kuzava ","Sarge","5/28/1923 in Wyandotte, MI "
117379,"Jerry Kutzler","P","Jerry Scott Kutzler ",NA,"3/25/1965 in Waukegan, IL "
117378,"Marty Kutyna","P","Marion John Kutyna ",NA,"11/14/1932 in Philadelphia, PA "
117377,"Joe Kutina","1B","Joseph Peter Kutina ",NA,"1/16/1885 in Chicago, IL "
117376,"Randy Kutcher","OF","Randy Scott Kutcher ",NA,"4/20/1960 in Anchorage, AK "
117375,"Jul Kustus","OF","Joseph J. Kustus ","Joe","9/5/1882 in Detroit, MI "
117374,"Art Kusnyer","C","Arthur William Kusnyer ","Cave","12/19/1945 in Akron, OH "
117373,"Craig Kusick","1B","Craig Robert Kusick ",NA,"9/30/1948 in Milwaukee, WI "
117372,"Emil Kush","P","Emil Benedict Kush ",NA,"11/4/1916 in Chicago, IL "
117371,"Ed Kusel","P","Edward D. Kusel ",NA,"2/15/1886 in Cleveland, OH "
117370,"Hal Kurtz","P","Harold James Kurtz ","Bud","8/20/1943 in Washington, DC "
117369,"Whitey Kurowski","3B","George John Kurowski ",NA,"4/19/1918 in Reading, PA "
117368,"Ryan Kurosaki","P","Ryan Yoshitomo Kurosaki ",NA,"7/3/1952 in Honolulu, HI "
117367,"Earl Kunz","P","Earl Dewey Kunz ","Pinches","12/25/1899 in Sacramento, CA "
117366,"Rusty Kuntz","CF","Russell Jay Kuntz ",NA,"2/4/1955 in Orange, CA "
117365,"Bill Kunkel","P","William Gustave Kunkel ",NA,"7/7/1936 in Hoboken, NJ "
117364,"Jeff Kunkel","SS","Jeffrey William Kunkel ",NA,"3/25/1962 in West Palm Beach, FL "
117363,"Mike Kume","P","John Michael Kume ",NA,"5/19/1926 in Premier, WV "
117362,"John Kull","P","John A. Kull ",NA,"6/24/1882 in Shenandoah, PA "
117361,"Duane Kuiper","2B","Duane Eugene Kuiper ",NA,"6/19/1950 in Racine, WI "
117360,"Charlie Kuhns","3B","Charles B. Kuhns ",NA,"10/27/1877 in Freeport, PA "
117359,"Walt Kuhn","C","Walter Charles Kuhn ","Red","2/2/1884 in Fresno, CA "
117358,"Kenny Kuhn","SS","Kenneth Harold Kuhn ",NA,"3/20/1937 in Louisville, KY "
117357,"Bub Kuhn","P","Bernard Daniel Kuhn ",NA,"10/12/1899 in Vicksburg, MI "
117356,"Joe Kuhel","1B","Joseph Anthony Kuhel ",NA,"6/25/1906 in Cleveland, OH "
117355,"Fred Kuhaulua","P","Fred Mahele Kuhaulua ",NA,"2/23/1953 in Honolulu, HI "
117354,"Harvey Kuenn","SS","Harvey Edward Kuenn ",NA,"12/4/1930 in West Allis, WI "
117353,"Bill Kuehne","3B","William J. Kuehne ",NA,"10/24/1858 in Leipzig, Germany "
117352,"Bert Kuczynski","P","Bernard Carl Kuczynski ",NA,"1/8/1920 in Philadelphia, PA "
117351,"Steve Kuczek","PH","Stanislaw Leo Kuczek ",NA,"12/28/1924 in Amsterdam, NY "
117350,"Johnny Kucks","P","John Charles Kucks ",NA,"7/27/1933 in Hoboken, NJ "
117349,"Jack Kucek","P","John Andrew Kucek ",NA,"6/8/1953 in Warren, OH "
117348,"Johnny Kucab","P","John Albert Kucab ",NA,"12/17/1919 in Olyphant, PA "
117347,"Gil Kubski","OF","Gilbert Thomas Kubski ",NA,"10/12/1954 in Longview, TX "
117346,"Jack Kubiszyn","SS","John Henry Kubiszyn ",NA,"12/19/1936 in Buffalo, NY "
117345,"Tim Kubinski","P","Timothy Mark Kubinski ",NA,"1/20/1972 in Pullman, WA "
117344,"Ted Kubiak","2B","Theodore Rodger Kubiak ",NA,"5/12/1942 in New Brunswick, NJ "
117343,"Tony Kubek","SS","Anthony Christopher Kubek ",NA,"10/12/1936 in Milwaukee, WI "
117342,"Dick Kryhoski","1B","Richard David Kryhoski ",NA,"3/24/1925 in Leonia, NJ "
117341,"Al Krumm","P","Albert B. Krumm ",NA,"1/13/1865 in Pittsburgh, PA "
117340,"Mike Krukow","P","Michael Edward Krukow ",NA,"1/21/1952 in Long Beach, CA "
117338,"Art Kruger","OF","Arthur Theodore Kruger ",NA,"3/16/1881 in San Antonio, TX "
117337,"Abe Kruger","P","Abraham Kruger ",NA,"2/14/1885 in Morris Run, PA "
117336,"Marty Krug","3B","Martin John Krug ",NA,"9/10/1888 in Koblenz, Germany "
117335,"Henry Krug","OF","Henry Charles Krug ",NA,"12/4/1876 in San Francisco, CA "
117334,"Gene Krug","PH","Gary Eugene Krug ",NA,"2/12/1955 in Garden City, KS "
117333,"Chris Krug","C","Everett Ben Krug ",NA,"12/25/1939 in Los Angeles, CA "
117332,"Bill Krueger","P","William Culp Krueger ",NA,"4/24/1958 in Waukegan, IL "
117331,"Ernie Krueger","C","Ernest George Krueger ",NA,"12/27/1890 in Chicago, IL "
117330,"Otto Krueger","3B","Arthur William Krueger ","Oom Paul","9/17/1876 in Chicago, IL "
117328,"Mike Krsnich","OF","Michael Krsnich ",NA,"9/24/1931 in West Allis, WI "
117327,"Marc Kroon","P","Marc Jason Kroon ",NA,"4/2/1973 in Bronx, NY "
117326,"John Kroner","2B","John Harold Kroner ",NA,"11/13/1908 in St.Louis, MO "
117325,"Gary Kroll","P","Gary Melvin Kroll ",NA,"7/8/1941 in Culver City, CA "
117324,"Rube Kroh","P","Floyd Myron Kroh ",NA,"8/25/1886 in Friendship, NY "
117323,"Gus Krock","P","August H. Krock ",NA,"5/9/1866 in Milwaukee, WI "
117322,"Rick Krivda","P","Rick Michael Krivda ",NA,"1/19/1970 in McKeesport, PA "
117321,"Howie Krist","P","Howard Wilbur Krist ","Spud","2/28/1916 in West Henrietta, NY "
117320,"Kurt Krieger","P","Kurt Ferdinand Krieger ","Dutch","9/16/1926 in Traisen, Austria "
117318,"Paul Krichell","C","Paul Bernard Krichell ",NA,"12/19/1882 in New York, NY "
117317,"Frank Kreutzer","P","Franklin James Kreutzer ",NA,"2/7/1939 in Buffalo, NY "
117316,"Chad Kreuter","C","Chadden Michael Kreuter ",NA,"8/26/1964 in Greenbrae, CA "
117315,"Rick Kreuger","P","Richard Allen Kreuger ",NA,"11/3/1948 in Grand Rapids, MI "
117314,"Lou Kretlow","P","Louis Henry Kretlow ","Lena","6/27/1921 in Apache, OK "
117313,"Red Kress","SS","Ralph Kress ",NA,"1/2/1907 in Columbia, CA "
117312,"Chuck Kress","1B","Charles Steven Kress ",NA,"12/9/1921 in Philadelphia, PA "
117311,"Wayne Krenchicki","3B","Wayne Richard Krenchicki ",NA,"9/17/1954 in Trenton, NJ "
117310,"Jim Kremmel","P","James Louis Kremmel ",NA,"2/28/1948 in Belleville, IL "
117309,"Jimmy Kremers","C","James Edward Kremers ",NA,"10/8/1965 in Little Rock, AR "
117308,"Ray Kremer","P","Remy Peter Kremer ","Wiz","3/23/1893 in Oakland, CA "
117307,"Ralph Kreitz","C","Ralph Wesley Kreitz ","Red","11/13/1885 in Plum Creek, NE "
117306,"Mickey Kreitner","C","Albert Joseph Kreitner ",NA,"10/10/1922 in Nashville, TN "
117305,"Charlie Krehmeyer","OF","Charles L. Krehmeyer ",NA,"7/5/1863 in St.Louis, MO "
117304,"Mike Kreevich","OF","Michael Andreas Kreevich ",NA,"6/10/1908 in Mt.Olive, IL "
117303,"Frank Kreeger","P","Frank Kreeger ",NA,""
117302,"Ray Krawczyk","P","Raymond Allen Krawczyk ",NA,"10/9/1959 in Pittsburgh, PA "
117301,"Danny Kravitz","C","Daniel Kravitz ","Dusty","12/21/1930 in Lopez, PA "
117300,"Ken Kravec","P","Kenneth Peter Kravec ",NA,"7/29/1951 in Cleveland, OH "
117299,"Lew Krausse","P","Lewis Bernard Krausse Sr. ",NA,"6/8/1912 in Media, PA "
117298,"Lew Krausse","P","Lewis Bernard Krausse Jr. ",NA,"4/25/1943 in Media, PA "
117297,"Harry Krause","P","Harry William Krause ","Hal","7/12/1888 in San Francisco, CA "
117296,"Charlie Krause","2B","Charles Krause ",NA,"10/2/1873 in Detroit, MI "
117295,"Jack Kraus","P","John William Kraus ","Tex","4/26/1918 in San Antonio, TX "
117294,"Gene Krapp","P","Eugene Hamlet Krapp ","Rubber Arm","5/12/1887 in Rochester, NY "
117293,"Ed Kranepool","1B","Edward Emil Kranepool ",NA,"11/8/1944 in New York, NY "
117288,"Jack Kralick","P","John Francis Kralick ",NA,"6/1/1935 in Youngstown, OH "
117287,"Joe Krakauskas","P","Joseph Victor Krakauskas ",NA,"3/28/1915 in Montreal, PQ, Canada "
117286,"Clarence Kraft","1B","Clarence Otto Kraft ","Big Boy","6/9/1887 in Evansville, IN "
117285,"Joe Kraemer","P","Joseph Wayne Kraemer ",NA,"9/10/1964 in Olympia, WA "
117284,"Joe Kracher","C","Joseph Peter Kracher ","Jug","11/4/1915 in Philadelphia, PA "
117283,"Al Kozar","2B","Albert Kenneth Kozar ",NA,"7/5/1921 in McKees Rocks, PA "
117282,"Ernie Koy","LF","Ernest Anyz Koy ","Chief","9/17/1909 in Sealy, TX "
117281,"Brian Kowitz","OF","Brian Mark Kowitz ",NA,"8/7/1969 in Baltimore, MD "
117280,"Fabian Kowalik","P","Fabian Lorenz Kowalik ",NA,"4/22/1908 in Falls City, TX "
117279,"Lou Koupal","P","Louis Laddie Koupal ",NA,"12/19/1898 in Tabor, SD "
117278,"Joe Koukalik","P","Joseph Koukalik ",NA,"3/3/1880 in Chicago, IL "
117277,"Sandy Koufax","P","Sanford Koufax ",NA,"12/30/1935 in Brooklyn, NY "
117276,"Mark Kotsay","CF","Mark Steven Kotsay ",NA,"12/2/1975 in Whittier, CA "
117275,"Frank Kostro","3B","Frank Jerry Kostro ",NA,"8/4/1937 in Windber, PA "
117274,"Fred Koster","OF","Frederick Charles Koster ","Fritz","12/21/1905 in Louisville, KY "
117273,"Joe Kostal","P","Joseph William Kostal ","Cudgey","3/17/1876 in Chicago, IL "
117272,"Mike Kosman","PR","Michael Thomas Kosman ",NA,"12/10/1917 in Hamtramck, MI "
117271,"Kevin Koslofski","OF","Kevin Craig Koslofski ",NA,"9/24/1966 in Decatur, IL "
117270,"Dave Koslo","P","George Bernard Koslo ",NA,"3/31/1920 in Menasha, WI "
117269,"Bill Koski","P","William John Koski ","T-Bone","2/6/1932 in Madera, CA "
117268,"Clem Koshorek","SS","Clement John Koshorek ","Scooter","6/20/1925 in Royal Oak, MI "
117267,"Andy Kosco","RF","Andrew John Kosco ",NA,"10/5/1941 in Youngstown, OH "
117266,"Jim Korwan","P","James Korwan ","Long Jim","3/4/1874 in Brooklyn, NY "
117265,"George Korince","P","George Eugene Korince ","Moose","1/10/1946 in Ottawa, ON, Canada "
117264,"Art Kores","3B","Arthur Emil Kores ","Dutch","7/22/1886 in Milwaukee, WI "
117263,"Steve Korcheck","C","Stephen Joseph Korcheck ","Hoss","8/11/1932 in McClellandtown, PA "
117262,"George Kopshaw","C","George Karl Kopshaw ",NA,"7/5/1895 in Passaic, NJ "
117261,"Joe Koppe","SS","Joseph Koppe ",NA,"10/19/1930 in Detroit, MI "
117260,"Merlin Kopp","OF","Merlin Henry Kopp ","Manny","1/2/1892 in Toledo, OH "
117259,"Howie Koplitz","P","Howard Dean Koplitz ",NA,"5/4/1938 in Oshkosh, WI "
117256,"George Kopacz","1B","George Felix Kopacz ","Sonny","2/26/1941 in Chicago, IL "
134080,"Gabe Alvarez","3B","Gabriel De Alvarez ",NA,"3/6/1974 in Navojoa, Mexico "
276539,"Juan Moreno","P","Juan Carlos Moreno ",NA,"2/28/1975 in Maiquetia, Venezuela "
117247,"Alex Konikowski","P","Alexander James Konikowski ","Whitey","6/8/1928 in Throop, PA "
117246,"Doug Konieczny","P","Douglas James Konieczny ",NA,"9/27/1951 in Detroit, MI "
117245,"Ed Konetchy","1B","Edward Joseph Konetchy ","Big Ed","9/3/1885 in La Crosse, WI "
117244,"Paul Konerko","1B","Paul Henry Konerko ",NA,"3/5/1976 in Providence, RI "
117243,"Brad Komminsk","RF","Brad Lynn Komminsk ",NA,"4/4/1961 in Lima, OH "
117242,"Fred Kommers","CF","Frederick Raymond Kommers ","Bugs","3/31/1886 in Chicago, IL "
117241,"Hal Kolstad","P","Harold Everette Kolstad ",NA,"6/1/1935 in Rice Lake, WI "
117240,"Karl Kolseth","1B","Karl Dickey Kolseth ","Koley","12/25/1892 in Cambridge, MA "
117239,"Ray Kolp","P","Raymond Carl Kolp ","Jockey","10/1/1894 in New Berlin, OH "
117238,"Don Kolloway","2B","Donald Martin Kolloway ","Butch","8/4/1918 in Posen, IL "
117237,"Gary Kolb","OF","Gary Alan Kolb ",NA,"3/13/1940 in Rock Falls, IL "
117236,"Eddie Kolb","P","Edward William Kolb ",NA,"7/20/1880 in Cincinnati, OH "
117235,"Dick Kokos","OF","Richard Jerome Kokos ",NA,"2/28/1928 in Chicago, IL "
117234,"Joe Kohlman","P","Joseph James Kohlman ",NA,"1/28/1913 in Philadelphia, PA "
117233,"Henry Kohler","3B","Henry C. Kohler ",NA,"5/5/1852 in Baltimore, MD "
117232,"Elmer Koestner","P","Elmer Joseph Koestner ","Bob","11/30/1885 in Piper City, IL "
117231,"Will Koenigsmark","P","William Thomas Koenigsmark ",NA,"2/27/1896 in Waterloo, IL "
117230,"Mark Koenig","SS","Mark Anthony Koenig ",NA,"7/19/1904 in San Francisco, CA "
117229,"Len Koenecke","OF","Leonard George Koenecke ",NA,"1/18/1904 in Baraboo, WI "
