"yahooid","name","position","full_name","nickname","dob"
7781,"Brian Sanches","RP",NA,NA,"1978-08-08"
7780,"Matt Kemp","RF",NA,NA,"1984-09-23"
7779,"James Shields","SP",NA,NA,"1981-12-20"
7778,"Enrique Gonzalez","RP",NA,NA,"1982-07-14"
972,"Willie Stargell","Pittsburgh",NA,NA,"1940-03-06"
7777,"Jonathan Sanchez","SP",NA,NA,"1982-11-19"
7776,"Wes Littleton","RP",NA,NA,"1982-09-02"
7775,"Bobby Keppel","RP",NA,NA,"1982-06-11"
7774,"Jack Hannahan","1B",NA,NA,"1980-03-04"
7773,"Santiago Ramirez","RP",NA,NA,"1978-08-15"
7772,"Carlos Villanueva","RP",NA,NA,"1983-11-28"
7771,"Alay Soler","SP",NA,NA,"1979-10-09"
7770,"Chris Coste","C",NA,NA,"1973-02-04"
7769,"Yurendell de Caster","3B",NA,NA,"1979-09-26"
7768,"Anderson Garcia","RP",NA,NA,"1981-03-23"
7767,"Mitch Jones","RF",NA,NA,"1977-10-15"
7765,"Ty Taubenheim","SP",NA,NA,"1982-11-17"
7764,"Mike Thompson","RP",NA,NA,"1980-11-06"
7763,"Emiliano Fruto","RP",NA,NA,"1984-06-06"
7762,"Jae Kuk Ryu","RP",NA,NA,"1983-05-30"
7761,"Agustin Montero","RP",NA,NA,"1977-08-26"
7760,"Chris Roberson","RF",NA,NA,"1979-08-23"
7759,"Jeremy Brown","C",NA,NA,"1979-10-25"
7758,"Charlie Haeger","SP",NA,NA,"1983-09-19"
7757,"Carlos Ruiz","C",NA,NA,"1979-01-22"
7756,"Francisco Rosario","RP",NA,NA,"1980-09-28"
7755,"Tommy Murphy","RF",NA,NA,"1979-08-27"
7754,"Mike Napoli","1B",NA,NA,"1981-10-31"
969,"Fred Stanley","Oakland",NA,NA,"1947-08-13"
7753,"Kelyn Acosta","RP",NA,NA,"1985-04-24"
7752,"Kurt Birkins","RP",NA,NA,"1980-08-11"
7751,"Sean Green","RP",NA,NA,"1979-04-20"
7750,"Brandon Fahey","SS",NA,NA,"1981-01-18"
7749,"Kevin Frandsen","LF",NA,NA,"1982-05-24"
7748,"Casey Janssen","RP",NA,NA,"1981-09-17"
7747,"Mike O'Connor","RP",NA,NA,"1980-08-17"
7746,"Howie Kendrick","2B",NA,NA,"1983-07-12"
7745,"Bobby Livingston","SP",NA,NA,"1982-09-03"
7744,"Erick Aybar","SS",NA,NA,"1984-01-14"
7743,"Brian Wilson","RP",NA,NA,"1982-03-16"
7742,"Reggie Willits","LF",NA,NA,"1981-05-30"
7741,"John Rheinecker","SP",NA,NA,"1979-05-29"
7740,"Vince Perkins","RP",NA,NA,"1981-09-27"
7739,"Brian Slocum","RP",NA,NA,"1981-03-27"
7738,"Chris Young","LF",NA,NA,"1983-09-05"
7737,"Martín Prado","3B",NA,NA,"1983-10-27"
7736,"Rafael Perez","RP",NA,NA,"1982-05-15"
7735,"Drew Meyer","2B",NA,NA,"1981-08-29"
7733,"Saul Rivera","RP",NA,NA,"1977-12-07"
7732,"Matt Smith","RP",NA,NA,"1979-06-15"
7731,"Tony Pena Jr.","RP",NA,NA,"1981-03-23"
7730,"Ramón Ramírez","RP",NA,NA,"1981-08-31"
7729,"Chris Britton","RP",NA,NA,"1982-12-16"
7728,"Peter Moylan","RP",NA,NA,"1978-12-02"
7727,"Cory Morris","RP",NA,NA,"1979-06-02"
7726,"Takashi Saito","RP",NA,NA,"1970-02-14"
7724,"Jordan Tata","SP",NA,NA,"1981-09-20"
7723,"Willie Eyre","RP",NA,NA,"1978-07-21"
965,"Mike Squires","Chi White Sox",NA,NA,"1952-03-05"
7721,"Carlos Martinez","RP",NA,NA,"1982-05-26"
7720,"Ricky Nolasco","SP",NA,NA,"1982-12-13"
7719,"Sendy Rleal","RP",NA,NA,"1980-06-21"
7717,"Ángel Pagán","CF",NA,NA,"1981-07-02"
7716,"Bill Bray","RP",NA,NA,"1983-06-05"
7715,"Boone Logan","RP",NA,NA,"1984-08-13"
7714,"Fernando Nieve","RP",NA,NA,"1982-07-15"
7713,"Reggie Abercrombie","CF",NA,NA,"1981-07-15"
7712,"James Jurries","1B",NA,NA,"1979-04-13"
7709,"Jason Hammel","SP",NA,NA,"1982-09-02"
7708,"Jered Weaver","SP",NA,NA,"1982-10-04"
7707,"Nick Markakis","RF",NA,NA,"1983-11-17"
7706,"Lastings Milledge","LF",NA,NA,"1985-04-05"
963,"Harry Spilman","Houston",NA,NA,"1954-07-18"
7705,"Chad Billingsley","SP",NA,NA,"1984-07-29"
7704,"Felix Pie","LF",NA,NA,"1985-02-08"
7703,"Brian Bannister","SP",NA,NA,"1981-02-28"
7702,"Eric Reed","CF",NA,NA,"1980-12-02"
7701,"Anibal Sánchez","SP",NA,NA,"1984-02-27"
7700,"Jeremy Sowers","SP",NA,NA,"1983-05-17"
7699,"Yusmeiro Petit","RP",NA,NA,"1984-11-22"
962,"Charlie Spikes","Atlanta",NA,NA,"1951-01-23"
7697,"Shinji Mori","RP",NA,NA,"1974-09-12"
7696,"Mike Megrew","SP",NA,NA,"1984-01-29"
7695,"Juan Mateo","SP",NA,NA,"1982-12-17"
7694,"Jamie Vermilyea","RP",NA,NA,"1982-02-10"
7693,"Jason Pridie","CF",NA,NA,"1983-10-09"
7692,"Dan Uggla","2B",NA,NA,"1980-03-11"
7691,"Mitch Wylie","RP",NA,NA,"1977-01-14"
7690,"Steve Andrade","RP",NA,NA,"1978-02-06"
7689,"Luis Gonzalez","RP",NA,NA,"1983-02-27"
7688,"Fabio Castro","RP",NA,NA,"1985-01-20"
7687,"Kenji Johjima","C",NA,NA,"1976-06-08"
7686,"Brad Baker","RP",NA,NA,"1980-11-06"
7684,"Cameron Maybin","CF",NA,NA,"1987-04-04"
15,"Wendell Alston","Cleveland",NA,NA,"1952-09-22"
7683,"Craig Hansen","RP",NA,NA,"1983-11-15"
7682,"Mike Esposito","SP",NA,NA,"1981-09-27"
7681,"Nelson Cruz","RF",NA,NA,"1980-07-01"
7680,"Anderson Hernandez","SS",NA,NA,"1982-10-30"
7679,"Matt Capps","RP",NA,NA,"1983-09-03"
7677,"Bryan Bullington","SP",NA,NA,"1980-09-30"
7676,"Mark Woodyard","RP",NA,NA,"1978-12-19"
7675,"Charlton Jimerson","LF",NA,NA,"1979-09-22"
7674,"Doug Clark","LF",NA,NA,"1976-03-05"
7673,"Jaime Bubela","RF",NA,NA,"1978-06-06"
7672,"J.J. Furmaniak","SS",NA,NA,"1979-07-31"
7671,"Josh Rupe","RP",NA,NA,"1982-08-18"
7670,"Ryan Theriot","2B",NA,NA,"1979-12-07"
7669,"Josh Johnson","SP",NA,NA,"1984-01-31"
7668,"Chris Heintz","C",NA,NA,"1974-08-06"
7667,"Travis Bowyer","RP",NA,NA,"1981-08-03"
7666,"Chris Demaria","RP",NA,NA,"1980-09-28"
958,"Jim Spencer","Oakland",NA,NA,"1946-07-30"
7665,"Chris Denorfia","RF",NA,NA,"1980-07-15"
7664,"Mike Vento","RF",NA,NA,"1978-05-25"
7663,"Josh Wilson","2B",NA,NA,"1981-03-26"
7661,"Shaun Marcum","SP",NA,NA,"1981-12-14"
7660,"John-Ford Griffin","LF",NA,NA,"1979-11-19"
7659,"Brian Myrow","1B",NA,NA,"1976-09-04"
7658,"Chris Duncan","LF",NA,NA,"1981-05-05"
7657,"Darrell Rasner","SP",NA,NA,"1981-01-13"
7656,"Chris Booker","RP",NA,NA,"1976-12-09"
7655,"Miguel Perez","C",NA,NA,"1983-09-25"
7654,"Dan Ortmeier","LF",NA,NA,"1981-05-11"
7652,"Anthony Lerew","SP",NA,NA,"1982-10-28"
7651,"Brian Burres","SP",NA,NA,"1981-04-08"
7650,"Tim Bittner","RP",NA,NA,"1980-06-09"
956,"Chris Speier","San Francisco",NA,NA,"1950-06-28"
7649,"Hong-Chih Kuo","RP",NA,NA,"1981-07-23"
7648,"Robert Andino","2B",NA,NA,"1984-04-25"
7646,"Chris Oxspring","RP",NA,NA,"1977-05-13"
7645,"Bernie Castro","2B",NA,NA,"1979-07-14"
7644,"Franklin Gutiérrez","LF",NA,NA,"1983-02-21"
7643,"Angel Chavez","SS",NA,NA,"1981-07-22"
7642,"Jermaine Van Buren","RP",NA,NA,"1980-07-02"
7641,"Freddie Bynum","SS",NA,NA,"1980-03-15"
7640,"Matt Tupman","C",NA,NA,"1979-11-25"
7639,"Edinson Vólquez","SP",NA,NA,"1983-07-03"
7638,"Willy Aybar","2B",NA,NA,"1983-03-09"
7637,"Jason Bergmann","RP",NA,NA,"1981-09-25"
7636,"Paul Maholm","SP",NA,NA,"1982-06-25"
7635,"Daric Barton","1B",NA,NA,"1985-08-16"
7634,"Billy Butler","1B",NA,NA,"1986-04-18"
7633,"Joel Guzman","3B",NA,NA,"1984-11-24"
7632,"Alejandro Machado","2B",NA,NA,"1982-04-26"
7631,"Dustin Pedroia","2B",NA,NA,"1983-08-17"
7629,"Chuck James","RP",NA,NA,"1981-11-09"
7628,"Russell Martin","C",NA,NA,"1983-02-15"
7627,"Ryan Zimmerman","1B",NA,NA,"1984-09-28"
7626,"Jason Bulger","RP",NA,NA,"1978-12-06"
7625,"Andrew Brown","RP",NA,NA,"1981-02-17"
7624,"Joey Devine","RP",NA,NA,"1983-09-19"
7623,"Mike Jacobs","1B",NA,NA,"1980-10-30"
7622,"Scott Feldman","SP",NA,NA,"1983-02-07"
7621,"Joe Saunders","SP",NA,NA,"1981-06-16"
7620,"Alejandro Freire","1B",NA,NA,"1974-08-23"
7619,"Brandon Watson","CF",NA,NA,"1981-09-30"
7618,"Ryan Jorgensen","C",NA,NA,"1979-05-04"
952,"Eric Soderholm","NY Yankees",NA,NA,"1948-09-24"
7617,"Eude Brito","SP",NA,NA,"1978-08-19"
7616,"Jeff Harris","RP",NA,NA,"1974-07-04"
7615,"Omar Quintanilla","SS",NA,NA,"1981-10-24"
7614,"Jonathan Papelbon","RP",NA,NA,"1980-11-23"
7613,"Jonathan Broxton","RP",NA,NA,"1984-06-16"
7612,"Manny Delcarmen","RP",NA,NA,"1982-02-16"
7611,"Travis Chick","RP",NA,NA,"1984-06-10"
7610,"Craig Breslow","RP",NA,NA,"1980-08-08"
7609,"Brad Eldred","1B",NA,NA,"1980-07-12"
7608,"Macay McBride","RP",NA,NA,"1982-10-24"
7607,"Jacobo Sequea","RP",NA,NA,"1981-08-31"
7606,"Chip Ambres","RF",NA,NA,"1979-12-19"
7604,"Clay Hensley","RP",NA,NA,"1979-08-31"
7603,"Roberto Hernández","SP",NA,NA,"1980-08-30"
7602,"Jason Botts","1B",NA,NA,"1980-07-26"
7601,"Danny Sandoval","SS",NA,NA,"1979-04-07"
7600,"Dana Eveland","RP",NA,NA,"1983-10-29"
7599,"Jason Vargas","SP",NA,NA,"1983-02-02"
7597,"Matt Murton","LF",NA,NA,"1981-10-03"
7596,"Adam Greenberg","CF",NA,NA,"1981-02-21"
7595,"Melky Cabrera","LF",NA,NA,"1984-08-11"
7594,"Jeff Francoeur","RF",NA,NA,"1984-01-08"
7593,"Kevin Hooper","2B",NA,NA,"1976-12-07"
7592,"Fernando Cortez","2B",NA,NA,"1981-08-10"
7591,"Eli Whiteside","C",NA,NA,"1979-10-22"
7588,"Kevin Reese","LF",NA,NA,"1978-03-11"
7587,"Ben Johnson","LF",NA,NA,"1981-06-18"
7586,"Brian Shackelford","RP",NA,NA,"1976-08-30"
948,"Chris Smith","San Francisco",NA,NA,"1957-07-18"
7585,"Scott Olsen","SP",NA,NA,"1984-01-12"
7584,"Paul McAnulty","1B",NA,NA,"1981-02-24"
7583,"Randy Messenger","RP",NA,NA,"1981-08-13"
7581,"Justin Huber","1B",NA,NA,"1982-07-01"
7580,"Brandon Medders","RP",NA,NA,"1980-01-26"
7579,"Ron Flores","RP",NA,NA,"1979-08-09"
7578,"Rich Hill","RP",NA,NA,"1980-03-11"
947,"Ozzie Smith","SS",NA,NA,"1954-12-26"
7577,"Chris Ray","RP",NA,NA,"1982-01-12"
7576,"Tim Corcoran","RP",NA,NA,"1978-04-15"
7575,"Ryan Shealy","1B",NA,NA,"1979-08-29"
7572,"J.P. Howell","RP",NA,NA,"1983-04-25"
7570,"Rick Short","1B",NA,NA,"1972-12-06"
946,"Lonnie Smith","PH",NA,NA,"1955-12-22"
7569,"Brian McCann","C",NA,NA,"1984-02-20"
7568,"Franquelis Osoria","RP",NA,NA,"1981-09-12"
7567,"Skip Schumaker","LF",NA,NA,"1980-02-03"
7564,"Ryan Doumit","C",NA,NA,"1981-04-03"
7563,"Tony Giarratano","SS",NA,NA,"1982-11-29"
7562,"Michael Morse","1B",NA,NA,"1982-03-22"
945,"Keith Smith","St. Louis",NA,NA,"1953-05-03"
7561,"Shane Costa","LF",NA,NA,"1981-12-12"
7560,"Stephen Drew","2B",NA,NA,"1983-03-16"
7559,"Chad Orvella","RP",NA,NA,"1980-10-01"
7556,"Steve Stemle","RP",NA,NA,"1977-05-20"
7555,"Eddy Garabito","SS",NA,NA,"1976-12-02"
7554,"Yorman Bazardo","RP",NA,NA,"1984-07-11"
944,"Billy Smith","San Francisco",NA,NA,"1953-07-14"
7553,"Joel Peralta","RP",NA,NA,"1976-03-23"
7552,"Wandy Rodríguez","SP",NA,NA,"1979-01-18"
7551,"Brayan Peña","C",NA,NA,"1982-01-07"
7550,"Luis Rodriguez","SS",NA,NA,"1980-06-27"
7549,"Joe Dillon","2B",NA,NA,"1975-08-02"
7548,"Jorge Campillo","RP",NA,NA,"1978-08-10"
7547,"Ervin Santana","SP",NA,NA,"1982-12-12"
7546,"Mike Burns","SP",NA,NA,"1978-07-14"
943,"Roy Smalley","Minnesota",NA,NA,"1952-10-25"
7545,"Chris Prieto","LF",NA,NA,"1972-08-24"
7544,"Jeff Fiorentino","CF",NA,NA,"1983-04-14"
7543,"Keith Reed","RF",NA,NA,"1978-10-08"
7542,"Todd Self","RF",NA,NA,"1978-11-09"
7540,"Oscar Robles","2B",NA,NA,"1976-04-09"
7539,"Cla Meredith","RP",NA,NA,"1983-06-04"
7538,"Ray Sadler","LF",NA,NA,"1980-09-19"
7537,"Robinson Tejeda","RP",NA,NA,"1982-03-24"
7536,"Brad Thompson","RP",NA,NA,"1982-01-31"
7535,"Sean Henn","RP",NA,NA,"1981-04-23"
7534,"Jeremy Accardo","RP",NA,NA,"1981-12-08"
7533,"Scott Baker","RP",NA,NA,"1981-09-19"
7532,"Pedro Lopez","SS",NA,NA,"1984-04-28"
7531,"Tim Bausher","SP",NA,NA,"1979-04-23"
7530,"Scott Munter","RP",NA,NA,"1980-03-07"
7529,"Royce Ring","RP",NA,NA,"1980-12-21"
7528,"Ambiorix Burgos","RP",NA,NA,"1984-04-19"
7527,"Ronny Cedeño","SS",NA,NA,"1983-02-02"
7525,"Norihiro Nakamura","3B",NA,NA,"1973-07-24"
7524,"Chris Duffy","CF",NA,NA,"1980-04-20"
7523,"Steve Schmoll","RP",NA,NA,"1980-02-04"
7522,"Jake Woods","RP",NA,NA,"1981-09-03"
7521,"Luke Scott","LF",NA,NA,"1978-06-25"
7520,"Ryan Speier","RP",NA,NA,"1979-07-24"
7519,"Jason Repko","CF",NA,NA,"1980-12-27"
7517,"Taylor Buchholz","RP",NA,NA,"1981-10-13"
7516,"Ezequiel Astacio","RP",NA,NA,"1979-11-04"
7515,"William Bergolla","2B",NA,NA,"1983-02-04"
7514,"Todd Coffey","RP",NA,NA,"1980-09-09"
939,"Dave Skaggs","LA Angels",NA,NA,"1951-06-12"
7513,"Nate McLouth","LF",NA,NA,"1981-10-28"
7512,"Zach Duke","RP",NA,NA,"1983-04-19"
7511,"Yuniesky Betancourt","3B",NA,NA,"1982-01-31"
7508,"Chris Narveson","SP",NA,NA,"1981-12-20"
7507,"Dustin Moseley","SP",NA,NA,"1981-12-26"
7506,"Bobby Brownlie","SP",NA,NA,"1980-10-05"
938,"Ted Sizemore","Boston",NA,NA,"1945-04-15"
7505,"John Hudgins","SP",NA,NA,"1981-08-31"
7504,"Francisco Liriano","SP",NA,NA,"1983-10-26"
7503,"Ryan Garko","1B",NA,NA,"1981-01-02"
7502,"Chien-Ming Wang","SP",NA,NA,"1980-03-31"
7501,"Kyle Davies","RP",NA,NA,"1983-09-09"
7500,"Tim Stauffer","RP",NA,NA,"1982-06-02"
7498,"Shin-soo Choo","RF",NA,NA,"1982-07-13"
937,"Ken Singleton","Baltimore",NA,NA,"1947-06-10"
7497,"Robinson Canó","2B",NA,NA,"1982-10-22"
7496,"Renyel Pinto","RP",NA,NA,"1982-07-08"
7495,"Matt Cain","SP",NA,NA,"1984-10-01"
7493,"Kelly Shoppach","C",NA,NA,"1980-04-29"
7492,"Jeremy Hermida","RF",NA,NA,"1984-01-30"
7491,"Jason Stokes","1B",NA,NA,"1982-01-23"
7490,"Ian Kinsler","2B",NA,NA,"1982-06-22"
7489,"Brian Anderson","RP",NA,NA,"1982-03-11"
7488,"Hanley Ramírez","LF",NA,NA,"1983-12-23"
7487,"Félix Hernández","SP",NA,NA,"1986-04-08"
7485,"Carlos Quentin","LF",NA,NA,"1982-08-28"
7484,"Brandon McCarthy","SP",NA,NA,"1983-07-07"
7483,"Aaron Hill","2B",NA,NA,"1982-03-21"
7482,"Keiichi Yabu","RP",NA,NA,"1968-09-28"
935,"Joe Simpson","Kansas City",NA,NA,"1951-12-31"
7481,"Kendrys Morales","1B",NA,NA,"1983-06-20"
7480,"Dae-Sung Koo","RP",NA,NA,"1968-08-02"
7479,"Tony Blanco","3B",NA,NA,"1981-11-10"
7478,"Adam Stern","CF",NA,NA,"1980-02-12"
7477,"D.J. Houlton","RP",NA,NA,"1979-08-12"
7476,"Ryan Rowland-Smith","RP",NA,NA,"1983-01-26"
7475,"Tyler Johnson","RP",NA,NA,"1981-06-07"
7474,"Luke Hagerty","SP",NA,NA,"1981-04-01"
934,"Ted Simmons","Atlanta",NA,NA,"1949-08-09"
7473,"Matt Merricks","RP",NA,NA,"1982-08-06"
7472,"Marcos Carvajal","RP",NA,NA,"1984-08-19"
7471,"Tyrell Godwin","CF",NA,NA,"1979-07-10"
7470,"Andrew Sisco","RP",NA,NA,"1983-01-13"
7469,"Angel Garcia","SP",NA,NA,"1983-10-28"
7468,"Huston Street","RP",NA,NA,"1983-08-02"
7467,"Delmon Young","RF",NA,NA,"1985-09-14"
7466,"Travis Hughes","RP",NA,NA,"1978-05-25"
7465,"Kameron Loe","RP",NA,NA,"1981-09-10"
7464,"Brandon League","RP",NA,NA,"1983-03-16"
7463,"Gustavo Chacin","RP",NA,NA,"1980-11-04"
7462,"Jake Robbins","RP",NA,NA,"1976-05-23"
7460,"Josh Labandeira","SS",NA,NA,"1979-02-25"
7459,"Donnie Murphy","2B",NA,NA,"1983-03-10"
7458,"René Rivera","C",NA,NA,"1983-07-31"
7457,"Joe Hietpas","C",NA,NA,"1979-05-01"
7456,"Mike Rose","C",NA,NA,"1976-08-25"
7455,"Curtis Granderson","RF",NA,NA,"1981-03-16"
7453,"Randy Williams","RP",NA,NA,"1975-09-18"
7452,"Victor Diaz","RF",NA,NA,"1981-12-10"
7451,"Justin Knoedler","C",NA,NA,"1980-07-17"
7450,"Jason Alfaro","3B",NA,NA,"1977-11-29"
7449,"Logan Kensing","RP",NA,NA,"1982-07-03"
7448,"Mickey Lopez","2B",NA,NA,"1973-11-17"
7447,"Aaron Rakers","RP",NA,NA,"1977-01-22"
7446,"Paul Phillips","C",NA,NA,"1977-04-15"
7444,"Jeff Bajenaru","RP",NA,NA,"1978-03-21"
7443,"Scott Dunn","RP",NA,NA,"1978-05-23"
7442,"Carlos Guzman","1B",NA,NA,"1983-07-05"
930,"Dennis Sherrill","NY Yankees",NA,NA,"1956-05-03"
7441,"Dave Krynzel","CF",NA,NA,"1981-11-07"
7440,"John Gall","RF",NA,NA,"1978-04-02"
7439,"Greg Dobbs","1B",NA,NA,"1978-07-02"
7438,"Adam Shabala","CF",NA,NA,"1978-02-06"
7437,"Ryan Howard","1B",NA,NA,"1979-11-19"
7436,"Dan Johnson","1B",NA,NA,"1979-08-10"
7435,"Nick Swisher","1B",NA,NA,"1980-11-25"
7433,"Luis Garcia","1B",NA,NA,"1978-05-11"
7432,"Kyle Denney","SP",NA,NA,"1977-07-27"
7431,"Francisco Cruceta","RP",NA,NA,"1981-07-04"
7430,"Eric Crozier","1B",NA,NA,"1978-08-11"
7429,"Russ Adams","LF",NA,NA,"1980-08-30"
7428,"Walter Young","1B",NA,NA,"1980-02-18"
7427,"Mike Fontenot","2B",NA,NA,"1980-06-09"
7426,"Dan Meyer","RP",NA,NA,"1981-07-03"
7425,"Jason Kubel","LF",NA,NA,"1982-05-25"
7424,"Pete Orr","2B",NA,NA,"1979-06-08"
7423,"Jose Capellan","RP",NA,NA,"1981-01-13"
7422,"Josh Kroeger","RF",NA,NA,"1982-08-31"
7421,"Wilson Valdez","SS",NA,NA,"1978-05-20"
7420,"Maicer Izturis","2B",NA,NA,"1980-09-12"
7419,"Pedro Liriano","RP",NA,NA,"1980-10-23"
7418,"Heath Bell","RP",NA,NA,"1977-09-29"
7417,"Jerry Gil","RP",NA,NA,"1982-10-14"
7416,"Marty McLeary","RP",NA,NA,"1974-10-26"
7415,"Ryan Church","RF",NA,NA,"1978-10-14"
7414,"Jeff Keppinger","3B",NA,NA,"1980-04-21"
7413,"Chris Gissell","RP",NA,NA,"1978-01-04"
7412,"Chris Young","SP",NA,NA,"1979-05-25"
7411,"Ian Snell","SP",NA,NA,"1981-10-30"
7410,"Roman Colon","RP",NA,NA,"1979-08-13"
7409,"Chris Snyder","C",NA,NA,"1981-02-12"
7408,"Steve Watkins","RP",NA,NA,"1978-07-19"
7407,"Val Majewski","CF",NA,NA,"1981-06-19"
7405,"Freddy Guzman","CF",NA,NA,"1981-01-20"
7404,"Andy Phillips","3B",NA,NA,"1977-04-06"
7403,"Franklin Nunez","RP",NA,NA,"1977-01-18"
7402,"Jorge Vasquez","RP",NA,NA,"1978-07-16"
7401,"Santiago Casilla","RP",NA,NA,"1980-07-25"
7400,"Jorge Piedra","LF",NA,NA,"1979-04-17"
7399,"Brad Hennessey","RP",NA,NA,"1980-02-07"
7398,"Cha Seung Baek","SP",NA,NA,"1980-05-29"
7397,"Jimmy Serrano","SP",NA,NA,"1976-05-09"
7396,"Ruben Gotay","3B",NA,NA,"1982-12-25"
7395,"Yhency Brazoban","RP",NA,NA,"1980-11-06"
7394,"Merkin Valdez","RP",NA,NA,"1981-11-10"
924,"Jimmy Sexton","St. Louis",NA,NA,"1954-12-15"
7393,"John Webb","RP",NA,NA,"1979-05-23"
7392,"Jose Lopez","3B",NA,NA,"1983-11-24"
7391,"Scott Atchison","RP",NA,NA,"1976-03-29"
7390,"Sam Narron","SP",NA,NA,"1981-07-12"
7389,"Roberto Novoa","RP",NA,NA,"1979-08-15"
7388,"Jason Bartlett","SS",NA,NA,"1979-10-30"
7387,"Abe Alvarez","RP",NA,NA,"1982-10-17"
7386,"John Maine","SP",NA,NA,"1981-05-08"
7385,"Bobby Madritsch","SP",NA,NA,"1976-02-28"
7384,"Nook Logan","CF",NA,NA,"1979-11-28"
7383,"Jeff Francis","SP",NA,NA,"1981-01-08"
7381,"Chad Qualls","RP",NA,NA,"1978-08-17"
7380,"Jorge Cantu","1B",NA,NA,"1982-01-30"
7379,"George Sherrill","RP",NA,NA,"1977-04-19"
7378,"Bucky Jacobsen","1B",NA,NA,"1975-08-30"
7377,"Matt Erickson","3B",NA,NA,"1975-07-30"
7376,"Sam Marsonek","RP",NA,NA,"1978-07-10"
7373,"Josh Willingham","LF",NA,NA,"1979-02-17"
7372,"Brendan Harris","SS",NA,NA,"1980-08-26"
7371,"Dave Bush","RP",NA,NA,"1979-11-09"
7370,"Justin Leone","3B",NA,NA,"1977-03-09"
921,"Tony Scott","Houston",NA,NA,"1951-09-18"
7369,"Travis Blackley","RP",NA,NA,"1982-11-04"
7368,"Bartolome Fortunato","RP",NA,NA,"1974-08-24"
7367,"Chris Aguila","LF",NA,NA,"1979-02-23"
7366,"Sam McConnell","RP",NA,NA,"1975-12-31"
7365,"Mark Teahen","3B",NA,NA,"1981-09-06"
7364,"Charles Thomas","LF",NA,NA,"1978-12-26"
7363,"Adam Peterson","RP",NA,NA,"1979-05-18"
7362,"Ramon Castro","3B",NA,NA,"1979-10-23"
920,"Rodney Scott","Washington",NA,NA,"1953-10-16"
7361,"Greg Aquino","RP",NA,NA,"1978-01-11"
7360,"Mike Tonis","C",NA,NA,"1979-02-09"
7359,"Lance Cormier","RP",NA,NA,"1980-08-19"
7358,"Arnie Munoz","RP",NA,NA,"1982-06-21"
7357,"Justin Lehr","SP",NA,NA,"1977-08-03"
7356,"Brad Halsey","RP",NA,NA,"1981-02-14"
7355,"Matt Guerrier","RP",NA,NA,"1978-08-02"
7354,"Joe Horgan","RP",NA,NA,"1977-06-07"
7353,"Dallas McPherson","3B",NA,NA,"1980-07-23"
7352,"Andy Green","LF",NA,NA,"1977-07-07"
7351,"Mike Hinckley","RP",NA,NA,"1982-10-05"
7350,"Shawn Hill","SP",NA,NA,"1981-04-28"
7348,"Joey Gathright","CF",NA,NA,"1981-04-27"
7347,"Jason Childers","RP",NA,NA,"1975-01-13"
7346,"Cory Sullivan","LF",NA,NA,"1979-08-20"
7345,"Yadier Molina","C",NA,NA,"1982-07-13"
7344,"Matt Treanor","C",NA,NA,"1976-03-03"
7343,"Tim Olson","3B",NA,NA,"1978-08-01"
7342,"Eddy Rodriguez","RP",NA,NA,"1981-08-08"
7341,"Jon Knott","LF",NA,NA,"1978-08-04"
7340,"Byron Gettis","LF",NA,NA,"1980-03-13"
7339,"Andy Dominique","C",NA,NA,"1975-10-30"
7338,"Denny Bautista","RP",NA,NA,"1980-08-23"
7337,"Elizardo Ramirez","RP",NA,NA,"1983-01-28"
7336,"Corey Hart","RF",NA,NA,"1982-03-24"
7335,"Anastacio Martinez","RP",NA,NA,"1978-11-03"
7333,"Melvin Upton Jr.","CF",NA,NA,"1984-08-21"
7332,"Mike Adams","RP",NA,NA,"1978-07-29"
7330,"Scott Dohmann","RP",NA,NA,"1978-02-13"
7329,"Cliff Bartosh","RP",NA,NA,"1979-09-05"
7328,"Dave Parrish","C",NA,NA,"1979-06-13"
7327,"Frank Francisco","RP",NA,NA,"1979-09-11"
7326,"Felix Diaz","SP",NA,NA,"1980-07-27"
7325,"Daniel Cabrera","SP",NA,NA,"1981-05-28"
7324,"Brian Bruney","RP",NA,NA,"1982-02-17"
7323,"Matt Hensley","RP",NA,NA,"1978-08-18"
7322,"Brad Hawpe","1B",NA,NA,"1979-06-22"
915,"Mike Schmidt","Philadelphia",NA,NA,"1949-09-27"
7321,"Eduardo Villacis","SP",NA,NA,"1979-08-29"
7320,"Doug DeVore","RF",NA,NA,"1977-12-14"
7319,"Franklyn Gracesqui","RP",NA,NA,"1979-08-20"
7318,"Brian Dallimore","2B",NA,NA,"1973-11-15"
7317,"Justin Huisman","RP",NA,NA,"1979-04-16"
7316,"Kaz Tadano","RP",NA,NA,"1980-04-25"
7315,"Chris Saenz","SP",NA,NA,"1981-08-14"
7314,"Alex Graman","SP",NA,NA,"1977-11-17"
7313,"Andrés Blanco","SS",NA,NA,"1984-04-11"
7312,"Phil Seibel","RP",NA,NA,"1979-01-28"
7311,"Matt Holliday","LF",NA,NA,"1980-01-15"
7310,"Jason Frasor","RP",NA,NA,"1977-08-09"
7309,"Simon Pond","RF",NA,NA,"1976-10-27"
7308,"Chad Bentz","RP",NA,NA,"1980-05-05"
7307,"David Aardsma","RP",NA,NA,"1981-12-27"
7306,"Michael Wuertz","RP",NA,NA,"1978-12-15"
7305,"Casey Daigle","RP",NA,NA,"1981-04-04"
7304,"Shawn Camp","RP",NA,NA,"1975-11-18"
